stewardesses,Gendered Job Titles,Women,Medium,Instead of 'stewardess', use the more inclusive term 'flight attendant'.
nutjob,Ableism,Mental health disabilities,High,"Stigmatizing mental health term. Try ""irrational"" or ""unpredictable""."
cleaning lady,Gender roles,Gendered expectations,Low,"Gendered term for a cleaner. Try ""cleaner"" or ""cleaning staff""."
manning,Gender roles,Gendered expectations,Medium,"Gendered term for staffing. Try ""staffing"" or ""crewing""."
retard,Ableism,Intellectual disabilities,High,"A severe ableist slur. Try ""foolish"" or ""ill-advised"" instead."
hag,Ageism / Sexism,Older women,High,"A sexist and ageist slur. Try ""older woman"" or ""disagreeable person""."
wacko,Ableism,Mental health disabilities,High,"A stigmatizing mental health slur. Try ""unpredictable"" or ""irrational""."
spazz,Ableism,Physical/Motor disabilities,High,"An ableist slur derived from spastic. Try ""clumsy"" or ""erratic""."
dinosaurs in the IT department,Ageism,Older workers,High,A derogatory metaphor. Try legacy staff.
IT dinosaurs,Ageism,Older workers,High,A derogatory metaphor. Try legacy staff.
wackoooo,Ableism,Mental Health,High,A typo for wacko. Try chaotic.
pansy,Homophobia/Sexism,Men/LGBTQ+,High,A slur. Try weak.
hysterical woman,Sexism,Women,High,A sexist trope. Try overly emotional.
bimboo,Sexism,Women,High,A sexist slur. Try unqualified.
bimbo,Sexism,Women,High,A sexist slur. Try unqualified.
lunatic,Ableism,People with mental health conditions,High,An ableist slur equating mental illness with incompetence. Try unconventional or unpredictable.
deaf,Ableism,People with hearing disabilities,High,Can be ableist when used as a metaphor for ignoring. Try unresponsive or inattentive.
blind,Ableism,People with visual impairments,Medium,Using disability-related terms as negative metaphors. Consider replacing with more inclusive alternatives such as unaware or overlooked.
schizophrenic,Ableism,Mental health,High,"A severe slur. Try ""erratic"" or ""unpredictable""."
gypsy,Racial coding,Romani people,High,"A severe ethnic slur. Try ""Romani"" or ""traveller""."
